CAP CINEMA CARCASSONNE 1,9,1830,11069
 SLE COMMUNALE DU FOYER RURAL,1,100,83032
LE COTENTIN 1,2,336,50099
LE GRAND BLEU,1,215,29024
LIDO 1,3,435,81060
REX 1,2,422,56034
RIVOLI 1,4,663,84031
THEATRE DE DION,1,768,44026
SALLE MULTISERVICE,1,0,64167
JULIETTE GRECO,1,100,6033
ESPACE FERNANDEL,1,200,13021
ST MICHEL PL,1,195,13022
M J C CINE 113,1,178,31113
LE CASTELIA,1,190,31116
L'ODYSSEE,1,185,47052
LE MELIES,1,193,31117
LA HALLE AUX GRAINS,1,276,11076
SALLE COMMUNALE POLYVALENTE,1,80,9082
VOX,1,184,82033
KURSAAL,1,106,40075
CINE 4,1,240,47057
LIDO 1,5,707,81065
SELECT,1,178,59136
PARIS,1,386,76164
MILLENIUM,2,590,59139
CINEMA THEATRE,1,330,82037
CASINO,1,500,65138
FEMINA 1,3,387,84035
LA CIGALE 1,1,386,84035
ECRAN BLEU(EX CINE BLEU),1,149,83036
ARMAGNAC,1,186,32096
LES CAPUCINS,1,237,31135
CINE THEATRE,1,309,78126
CERETAN,1,525,66049
UGC CINE CITE 1,14,2768,95127
7EME ART,1,200,79062
ESPACE GRUN,1,408,68063
LE SEVIGNE,1,293,35051
REX 1,2,544,33122
FAMILIAL,1,393,52093
MARAIS,1,291,85047
CLUB 1,2,516,85047
LE CHALL'ENGER,1,141,73064
ESPACE CINE,1,280,49063
MEGA CGR  1,9,1601,51108
LA COMETE,1,153,51108
NEF 1,5,686,71076
AXEL 1,4,586,71076
VOX 1,5,724,71076
ESPACE DES ARTS,2,1224,71076
CURIAL CINEMA,1,154,73065
ASTREE 4,4,584,73065
FORUM CINEMA 1,2,235,73065
PATHE CHAMNORD 1,6,1390,73065
CINEMASCOOP 1,2,209,43051
VOX 1,3,508,74056
JEAN GABIN,1,168,77079
REPUBLIQUE 1,3,389,39097
RHODO,1,170,73071
SALLE YVES RENAULT,1,242,37050
STUDIO 4,5,944,94017
ELYSEE 1,4,606,60141
SULLY,1,650,85051
LA CHAPELLE ACHARD,1,300,85052
JACQUES DEMY,1,189,44029
SALLE DES FETES,1,400,69270
ALPHA,1,300,69044
CRYSTAL PALACE 1,2,301,58059
METROPOLIS 1,10,2008,8105
LES HALLES 1,2,210,42052
CINEMA DE CHARMOILLE,1,212,25125
LE TIVOLI,1,191,71106
CINEPARADIS 1,10,1880,28085
CINE ESPERANCE,1,249,35066
VOX,1,173,16085
SALLE BELLE EPINE,1,160,85059
CINEMATOGRAPHE SLE CHAPLIN,3,465,4049
ETOILE,1,221,35068
ATLANTIC CINE 1,4,748,44036
ETOILE CINEMA,1,185,58062
CINEMA LA GARGAMOELLE,1,147,85060
LES RECOLLETS,1,127,72071
LE DUNOIS 1,3,412,28088
PARADISIO,1,182,35069
PALACE 1,3,512,53062
AGORA,1,242,29026
SALLE DES FETES,1,200,28089
COLISEE,1,210,87040
ESPACE MARCEL PAGNOL,1,120,13026
VOX,1,64,45083
CINEMA LE REX 1,3,332,13027
BALZAC,1,216,37063
APOLLO,1,328,36044
CINEMOVIDA 1,8,1078,36044
SALLE SAINT JEAN,1,190,57132
THEATRE SALLE 4,4,657,2168
MORCLAN 2000,1,275,74063
LE CHAMOIS,1,100,74063
SALLE DES FETES,1,100,22038
CINEA 1,4,739,86066
LES 400 COUPS,1,162,86066
REX 1,2,551,92019
LE VENDELAIS,1,199,35072
CINEMA,1,226,92020
CINEMA DE CHATILLON SUR CHALARONNE,1,245,1093
LOUIS JOUVET,1,419,78146
LUX,1,193,36046
LA SOURCE,1,272,15045
CINE ACTION PALACE,1,147,71120
SALLE POLYVALENTE,1,270,5039
VOX,1,462,52121
EDEN 1,2,392,52121
A L'AFFICHE 1,8,1134,52121
LUMIERE 1,3,380,2173
REX 1,2,218,86070
L'ATRIUM,1,643,92022
FOYER CULTUREL,1,146,79083
COSMOS 1,2,645,77108
CLUB,1,198,49092
LE THEATRE,1,384,94019
ODEON 1,5,1092,50129
MEGA CGR 1,12,2536,50129
STUDIO A,5,838,78158
GAUMONT DISNEY VILLAGE 1,15,3923,77111
SALLE ANDRE MALRAUX,1,405,94021
VOX,1,159,7064
SLE J D ARC,1,300,7064
FRANCOIS TRUFFAUT - SALLE JULES,2,409,91161
LE RABELAIS,1,350,37072
SALLE PAUL ELUARD,1,181,94022
CINEMOVIDA,9,1368,49099
THEATRE DE VERDURE,1,400,7066
LUMIERE 1,3,426,13028
LE CINE-MALICE,1,126,86078
LE MAGNOAC,1,116,65148
CINEMA JEANNE MOREAU,1,176,92023
CASINO 1,2,243,58079
CINEMA PARADISO (EX-HENRI LANGLOIS),2,356,78165
L'ODYSEE (EX CINEMA FOYER),1,240,71133
SALLE JEAN GIONO,1,129,38113
SALLE LEBRUN,1,110,60157
ALAIN RESNAIS,1,230,34079
 CAPITOLE 1,5,677,63113
LE RIO,1,178,63113
 JAUDE 1,7,1234,63113
LES AMBIANCES 1,3,269,63113
FOYER RURAL,1,150,71135
CINEMA RUTEBEUF,1,549,92024
LE CONNETABLE,2,432,44043
LES ARTS,1,289,71137
DANAY,1,400,74080
STUDIO 1600,1,256,74081
CINETOILES,1,600,74081
GALAXY 6 (EX-PATHE 6),7,962,16102
RAIMU,1,140,83042
MONDIAL CINEMA,1,300,66053
COLISEE 1,6,1252,68066
MJC THEATRE DE COLOMBES,1,322,92025
CLUB 1,4,493,92025
CENTRAL 1,2,327,31149
CHATEAUBRIAND,2,386,35085
LA COUPOLE,1,236,77122
THEATRE ALPHONSE THIVRIER,1,0,3082
FRANCOIS TRUFFAUT,1,215,55122
LE CELTIC 1,5,801,29039
ROYAL,1,381,14174
CINEMA MUNICIPAL,1,340,50139
CINE 32 GASCOGNE 1,2,273,32107
JEAN VILAR,1,159,54136
CINEVILLE 1(EX-ATALANTE),3,517,78172
PATHE 1,12,2642,78172
LE CAPITOLE,1,149,16106
MAISON POURTOUS,1,0,6048
CASINO,1,250,88114
GAUMONT CITE EUROPE 1,12,2386,62239
FOGATA 1,2,615,2B093     
ARCEL K,3,434,91174
THEÂTRE LES DOCKS,1,371,80212
